fid,id,left,top,right,bottom,row_index,col_index,_count,_sum,_mean
"25","35",583060.5254,5031613.4071,583062.7654,5031608.4071,"14","1",1122,886,0.789661319073084
"26","36",583060.5254,5031608.4071,583062.7654,5031603.4071,"15","1",1118,982,0.878354203935599
"27","37",583060.5254,5031603.4071,583062.7654,5031598.4071,"16","1",1118,1008,0.901610017889088
"28","38",583060.5254,5031598.4071,583062.7654,5031593.4071,"17","1",1119,1082,0.966934763181412
"29","39",583060.5254,5031593.4071,583062.7654,5031588.4071,"18","1",1119,769,0.68722073279714
"30","40",583060.5254,5031588.4071,583062.7654,5031583.4071,"19","1",1119,915,0.81769436997319
"31","46",583062.7654,5031658.4071,583065.0054,5031653.4071,"5","2",1121,910,0.811775200713649
"32","47",583062.7654,5031653.4071,583065.0054,5031648.4071,"6","2",1122,1082,0.964349376114082
"33","48",583062.7654,5031648.4071,583065.0054,5031643.4071,"7","2",1118,824,0.737030411449016
"34","49",583062.7654,5031643.4071,583065.0054,5031638.4071,"8","2",1120,1094,0.976785714285714
"35","50",583062.7654,5031638.4071,583065.0054,5031633.4071,"9","2",1120,1111,0.991964285714286
"36","51",583062.7654,5031633.4071,583065.0054,5031628.4071,"10","2",1122,1091,0.972370766488414
"37","52",583062.7654,5031628.4071,583065.0054,5031623.4071,"11","2",1122,1096,0.976827094474153
"38","53",583062.7654,5031623.4071,583065.0054,5031618.4071,"12","2",1119,978,0.873994638069705
"39","54",583062.7654,5031618.4071,583065.0054,5031613.4071,"13","2",1119,1068,0.954423592493298
"40","55",583062.7654,5031613.4071,583065.0054,5031608.4071,"14","2",1118,1049,0.938282647584973
"41","56",583062.7654,5031608.4071,583065.0054,5031603.4071,"15","2",1118,734,0.656529516994633
"42","57",583062.7654,5031603.4071,583065.0054,5031598.4071,"16","2",1122,1100,0.980392156862745
"43","58",583062.7654,5031598.4071,583065.0054,5031593.4071,"17","2",1121,1024,0.913470115967886
"44","59",583062.7654,5031593.4071,583065.0054,5031588.4071,"18","2",1122,1057,0.942067736185383
"45","60",583062.7654,5031588.4071,583065.0054,5031583.4071,"19","2",1123,1013,0.902048085485307
"46","66",583065.0054,5031658.4071,583067.2454,5031653.4071,"5","3",1124,932,0.829181494661922
"47","67",583065.0054,5031653.4071,583067.2454,5031648.4071,"6","3",1119,749,0.66934763181412
"48","68",583065.0054,5031648.4071,583067.2454,5031643.4071,"7","3",1123,731,0.65093499554764
"49","69",583065.0054,5031643.4071,583067.2454,5031638.4071,"8","3",1122,917,0.81729055258467
"50","70",583065.0054,5031638.4071,583067.2454,5031633.4071,"9","3",1117,947,0.847806624888093
"51","71",583065.0054,5031633.4071,583067.2454,5031628.4071,"10","3",1119,889,0.794459338695264
"52","72",583065.0054,5031628.4071,583067.2454,5031623.4071,"11","3",1118,770,0.688729874776386
"53","73",583065.0054,5031623.4071,583067.2454,5031618.4071,"12","3",1122,972,0.866310160427808
"54","74",583065.0054,5031618.4071,583067.2454,5031613.4071,"13","3",1122,834,0.74331550802139
"55","75",583065.0054,5031613.4071,583067.2454,5031608.4071,"14","3",1120,642,0.573214285714286
"56","76",583065.0054,5031608.4071,583067.2454,5031603.4071,"15","3",1122,879,0.783422459893048
"57","77",583065.0054,5031603.4071,583067.2454,5031598.4071,"16","3",1119,853,0.762287756925827
"58","78",583065.0054,5031598.4071,583067.2454,5031593.4071,"17","3",1120,908,0.810714285714286
