Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Description1,SPACING,DENSITY,VARIETY,Treatment,Mason Plot #,qGIS plot number,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Flowering Date,Maturity Date,HAsum,HAmean,HAmean2row,AdjustedYield2row,spatialcv,Weighted Adjustment(0.5),WeightedYield,AlgoYieldSiE,AlgoYieldSi,AlgoYieldN,AlgoYield,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,10DF836229,1,,LODS,57,,"22""",150000,Merlot,37,404,4004,4,4,40,19.9,1582,2033,2024-07-22,2024-08-30,115707,0.815508021,0.972170686,2091.196565,,0.880617636,2308.606957,2091.196565,,,,,0,57,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B00FCE504,1,,LODS,64,,"22""",75000,black bear,2,405,4005,4,5,28,23.3,1636,2013,2024-07-24,2024-09-01,119853,0.901610018,0.946296296,2127.240705,,0.894248102,2251.053142,2013,,,,,0,64,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1080B6E78B,1,,LODS,87,,"22""",100000,Eclipse,20,406,4006,4,6,25,19.1,1911,2481,2024-07-24,2024-08-28,124151,0.980392157,0.987037037,2513.58349,,0.908391448,2731.201408,2481,,,,,0,87,,,,,,,,,,,,,,,,,,,,,,,
24101-n,176A73EB1D,2,,LODS,94,,"22""",75000,Apex,1,407,4007,4,7,28,20.3,1673,2140,2024-07-24,2024-09-02,108157,0.762287757,0.912801484,2344.430894,,0.855777265,2500.650682,2344.430894,,,,,0,94,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BD33F1538,2,,LODS,117,,"22""",150000,Red Dawn,39,408,4008,4,8,62,21.3,587,741,2024-07-17,2024-08-20,115137,0.84252669,1,741,,0.878745115,843.2479309,741,,,,,0,117,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1A8EC4F4D0,2,,LODS,124,,"22""",100000,Ronnies red,27,409,4009,4,9,217,20.6,775,987,2024-07-21,2024-09-02,124914,0.934821429,0.990740741,996.2242991,,0.910901316,1083.542183,987,,,,,0,124,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1CA2619B26,2,,LODS,147,,"30""",100000,Apex,61,410,4010,4,10,26,18.9,1952,2540,2024-07-24,2024-08-31,151355,0.995743477,0.996105314,2549.93118,,0.997871739,2545.417314,2540,,,,,0,147,,,,,,,,,,,,,,,,,,,,,,,
24101-n,142716F39E,2,,LODS,154,,"30""",75000,Red Rover,55,411,4011,4,11,56,21,680,862,2024-07-19,2024-08-22,150293,0.988776242,0.987276316,873.1091653,,0.994388121,866.86474,862,,,,,0,154,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C6889CD4C,2,,LODS,177,,"30""",150000,CLERK,79,412,4012,4,12,68,20.8,1144,1454,2024-07-22,2024-09-02,151957,0.999723682,0.999065802,1455.359594,,0.999861841,1454.200911,1454,,,,,0,177,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1493D14504,3,,LODS,184,,"22""",150000,Merlot,37,413,4013,4,13,41,20.2,1541,1973,2024-07-24,2024-09-01,102344,0.646428571,0.824074074,2394.202247,,0.83665568,2358.198297,2394.202247,,,,,0,184,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1A17AC8B9C,3,,LODS,207,,"22""",75000,Red Rover,10,414,4014,4,14,77,20.7,541,688,2024-07-16,2024-08-26,112984,0.737924866,0.637037037,1080,,0.87165545,789.3027003,1080,,,,,0,207,,,,,,,,,,,,,,,,,,,,,,,
