id,left,top,right,bottom,row_index,col_index,Plot Numbe,HAsum,HAmean
737,583037.187500000000000,5031675.860000000335276,583042.187500000000000,5031672.819999999366701,16,10,1117,144834.000000000000000,0.952861532
738,583037.187500000000000,5031672.819999999366701,583042.187500000000000,5031669.780000000260770,17,10,1118,105908.000000000000000,0.696763158
739,583037.187500000000000,5031669.780000000260770,583042.187500000000000,5031666.740000000223517,18,10,1119,111372.000000000000000,0.732705706
740,583037.187500000000000,5031666.740000000223517,583042.187500000000000,5031663.700000000186265,19,10,1120,120593.000000000000000,0.79336978
741,583037.187500000000000,5031663.700000000186265,583042.187500000000000,5031660.660000000149012,20,10,1121,127646.000000000000000,0.839792891
742,583037.187500000000000,5031660.660000000149012,583042.187500000000000,5031657.620000000111759,21,10,1122,149603.000000000000000,0.984223788
743,583037.187500000000000,5031657.620000000111759,583042.187500000000000,5031654.580000000074506,22,10,1123,146106.000000000000000,0.96121736
744,583037.187500000000000,5031654.580000000074506,583042.187500000000000,5031651.540000000037253,23,10,1124,108689.000000000000000,0.715054506
793,583042.187500000000000,5031724.500000000000000,583047.187500000000000,5031721.459999999962747,0,11,1201,151820.000000000000000,0.998809218
794,583042.187500000000000,5031721.459999999962747,583047.187500000000000,5031718.419999999925494,1,11,1202,150834.000000000000000,0.992342005
795,583042.187500000000000,5031718.419999999925494,583047.187500000000000,5031715.379999999888241,2,11,1203,141696.000000000000000,0.932210526
796,583042.187500000000000,5031715.379999999888241,583047.187500000000000,5031712.339999999850988,3,11,1204,89482.000000000000000,0.588693495
797,583042.187500000000000,5031712.339999999850988,583047.187500000000000,5031709.300000000745058,4,11,1205,122878.000000000000000,0.808397258
798,583042.187500000000000,5031709.300000000745058,583047.187500000000000,5031706.259999999776483,5,11,1206,125538.000000000000000,0.825924196
799,583042.187500000000000,5031706.259999999776483,583047.187500000000000,5031703.219999999739230,6,11,1207,113115.000000000000000,0.744172736
800,583042.187500000000000,5031703.219999999739230,583047.187500000000000,5031700.179999999701977,7,11,1208,87314.000000000000000,0.574430431
801,583042.187500000000000,5031700.179999999701977,583047.187500000000000,5031697.139999999664724,8,11,1209,115600.000000000000000,0.760526316
802,583042.187500000000000,5031697.139999999664724,583047.187500000000000,5031694.099999999627471,9,11,1210,148267.000000000000000,0.975447207
803,583042.187500000000000,5031694.099999999627471,583047.187500000000000,5031691.059999999590218,10,11,1211,147584.000000000000000,0.970947368
804,583042.187500000000000,5031691.059999999590218,583047.187500000000000,5031688.019999999552965,11,11,1212,151990.000000000000000,0.999927632
805,583042.187500000000000,5031688.019999999552965,583047.187500000000000,5031684.979999999515712,12,11,1213,116036.000000000000000,0.763399759
806,583042.187500000000000,5031684.980000000447035,583047.187500000000000,5031681.940000000409782,13,11,1214,117241.000000000000000,0.771322368
807,583042.187500000000000,5031681.940000000409782,583047.187500000000000,5031678.900000000372529,14,11,1215,126514.000000000000000,0.832328947
808,583042.187500000000000,5031678.900000000372529,583047.187500000000000,5031675.860000000335276,15,11,1216,151711.000000000000000,0.998098684
809,583042.187500000000000,5031675.860000000335276,583047.187500000000000,5031672.819999999366701,16,11,1217,149308.000000000000000,0.982302399
810,583042.187500000000000,5031672.819999999366701,583047.187500000000000,5031669.780000000260770,17,11,1218,148970.000000000000000,0.980059342
811,583042.187500000000000,5031669.780000000260770,583047.187500000000000,5031666.740000000223517,18,11,1219,124924.000000000000000,0.821863014
812,583042.187500000000000,5031666.740000000223517,583047.187500000000000,5031663.700000000186265,19,11,1220,121064.000000000000000,0.796468444
813,583042.187500000000000,5031663.700000000186265,583047.187500000000000,5031660.660000000149012,20,11,1221,122094.000000000000000,0.803265854
814,583042.187500000000000,5031660.660000000149012,583047.187500000000000,5031657.620000000111759,21,11,1222,151684.000000000000000,0.997907922
815,583042.187500000000000,5031657.620000000111759,583047.187500000000000,5031654.580000000074506,22,11,1223,150645.000000000000000,0.991079006
816,583042.187500000000000,5031654.580000000074506,583047.187500000000000,5031651.540000000037253,23,11,1224,151269.000000000000000,0.995197337
