Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
2506,47,HA,0.0791787075,0.2749724756,0.1176821025,0.1040227034
2506,47,NDRE,0.1920765641,0.007607524,0.2744703331,0.000116875
2506,47,NDVI,0.4255732121,7.579256E-10,0.6891592072,2.192919E-28
2506,47,PlantCount,0.0296975691,0.6826096025,0.0853844506,0.2389770097
2506,47,Thresh,0.4686828496,7.082586E-12,0.7552253841,1.063306E-36
2506,55,ExG,0.3506211435,6.1701222E-7,0.7165615344,1.516513E-31
2506,55,ExR,-0.308223035,0.0000136549,-0.644886541,5.850318E-24
2506,55,GNDVI,0.4747646753,3.470078E-12,0.6763622849,5.008819E-27
2506,55,HA,-0.154255744,0.0326569343,-0.246120454,0.0005792197
2506,55,NDRE,0.2921997119,0.0000391376,0.3471364284,8.1009593E-7
2506,55,NDVI,0.4636749426,1.261201E-11,0.7286562842,4.615223E-33
2506,55,PlantCount,-0.043934191,0.545121187,-0.002469986,0.9728758072
2506,55,Thresh,0.492509688,3.986065E-13,0.7717938405,3.260773E-39
2507,13,ExG,-0.034008328,0.7767155063,0.1030497251,0.3890183385
2507,13,ExR,0.1073106815,0.3696016838,-0.005449618,0.9637625214
2507,13,GNDVI,0.1945863095,0.1014383634,0.1250012367,0.295460573
2507,13,HA,-0.074813765,0.5322455133,-0.211725366,0.0741952041
2507,13,NDRE,0.2347952241,0.0471129995,0.189086647,0.1116636172
2507,13,NDVI,0.1310045457,0.2726890529,0.1241285557,0.298871575
2507,13,PlantCount,-0.030810849,0.7972373276,-0.150284591,0.2076479257
2507,13,Thresh,0.0903510803,0.4503795314,0.1533484229,0.1984244311
2507,21,ExG,-0.212563289,0.0730306007,0.1382149693,0.2469316345
2507,21,ExR,-0.376143263,0.0011287709,-0.192107227,0.1059534046
2507,21,GNDVI,0.3881450917,0.0007544073,0.4450181393,0.0000897506
2507,21,HA,-0.29601256,0.01158149,-0.376682555,0.0011088767
2507,21,NDRE,0.3588784021,0.0019633854,0.2946405941,0.0119914851
2507,21,NDVI,0.2438164928,0.0390269438,0.4192445271,0.0002468009
2507,21,PlantCount,-0.281500571,0.0165992383,-0.343404021,0.0031444125
2507,21,Thresh,0.2475300365,0.0360515188,0.4359345482,0.0001293879
2507,25,ExG,0.3391472662,0.0035648978,0.6271215477,3.7685812E-9
2507,25,ExR,-0.184707955,0.1203593657,-0.336170358,0.0038879836
2507,25,GNDVI,0.1866450477,0.1164505687,0.3881434441,0.0007544498
2507,25,HA,-0.311325623,0.0077687844,-0.3230217,0.0056475744
2507,25,NDRE,0.1110226028,0.3531767152,0.1905936915,0.1087856508
2507,25,NDVI,0.2171880776,0.0668635194,0.4606601335,0.0000466403
2507,25,PlantCount,-0.24438095,0.0385619496,-0.260946419,0.026831308
2507,25,Thresh,0.3423982385,0.0032395595,0.5840108087,7.2418267E-8
2507,32,ExG,0.2843666684,0.0154817532,0.7083536085,3.404017E-12
2507,32,ExR,-0.469142583,0.0000322644,-0.500150282,7.6965705E-6
2507,32,GNDVI,0.3851441612,0.000835571,0.628688069,3.3558116E-9
2507,32,HA,-0.222029192,0.0608645781,-0.283352676,0.0158694681
2507,32,NDRE,0.1033917508,0.387437717,0.2064009154,0.0819464853
2507,32,NDVI,0.3161585469,0.0068197976,0.6414699236,1.2704737E-9
2507,32,PlantCount,-0.202067526,0.0887179497,-0.24184732,0.0406857578
2507,32,Thresh,0.4423954104,0.0000998539,0.7499846541,3.413849E-14
2507,40,ExG,0.2897076054,0.013571392,0.6353837773,2.0288417E-9
2507,40,ExR,-0.388985023,0.0007330103,-0.557080564,3.7295109E-7
2507,40,GNDVI,0.2166503129,0.0675583103,0.5467745474,6.7267874E-7
2507,40,HA,0.1048857721,0.3805783539,0.1858401864,0.118062654
2507,40,NDRE,0.2266249984,0.0555806741,0.4838042365,0.0000166698
2507,40,NDVI,0.1936126387,0.1031934492,0.5566302041,3.8284791E-7
2507,40,PlantCount,0.0562253025,0.6389916074,0.2287385395,0.0532794702
2507,40,Thresh,0.2802190648,0.0171208945,0.6321576779,2.5894297E-9
2507,47,ExG,0.5754041416,1.2424732E-7,0.8742703278,1.158255E-23
2507,47,ExR,-0.545705262,7.1432673E-7,-0.909359508,2.265685E-28
2507,47,GNDVI,0.6659300077,1.735542E-10,0.9363759846,1.502875E-33
2507,47,HA,-0.248093152,0.0356172998,-0.061484851,0.6079014331
2507,47,NDRE,0.4564083113,0.0000558992,0.679037208,5.523061E-11
2507,47,NDVI,0.6538765054,4.734772E-10,0.9623204202,2.539213E-41
2507,47,PlantCount,-0.133723499,0.2627728745,0.094101197,0.4317224623
2507,47,Thresh,0.6696727003,1.258917E-10,0.9810638636,1.209352E-51
2507,55,ExG,0.6321298787,2.5948474E-9,0.9004662557,5.140957E-27
2507,55,ExR,-0.614628089,9.2924611E-9,-0.87991522,2.561978E-24
2507,55,GNDVI,0.7090750265,3.164784E-12,0.9436583217,2.415606E-35
2507,55,HA,-0.166425655,0.1623477429,-0.023814745,0.8426019878
2507,55,NDRE,0.6210568558,5.8694919E-9,0.8096137468,7.399417E-18
2507,55,NDVI,0.7205402495,9.642806E-13,0.9801332387,6.383521E-51
2507,55,PlantCount,0.0072994577,0.9514748951,0.1796101726,0.1311260777
2507,55,Thresh,0.745499702,5.847592E-14,0.9960297466,2.779731E-75
2508,13,ExG,0.0664380801,0.526903483,0.3457111784,0.0006885021
2508,13,ExR,-0.210522483,0.0428152725,-0.21018607,0.0431560612
2508,13,GNDVI,0.0139250664,0.8946056949,0.2294245419,0.0269553896
2508,13,HA,0.1351542338,0.1964651973,0.0956746262,0.361627091
2508,13,NDRE,0.0421419531,0.6883582351,0.3278717796,0.0013352572
2508,13,NDVI,0.0980565548,0.3497419878,0.3266444288,0.0013955179
2508,13,PlantCount,-0.139242329,0.1831435724,-0.078126808,0.4566486846
2508,13,Thresh,0.2940370972,0.0042261619,0.4840739025,8.8337123E-7
2508,21,ExG,-0.238223392,0.021477497,0.0794308386,0.4491455861
2508,21,ExR,-0.249122161,0.0160379409,-0.334469481,0.0010499201
2508,21,GNDVI,0.1571751391,0.1324241563,0.2027537045,0.0512790739
2508,21,HA,-0.023133439,0.8257909317,-0.378324242,0.000184709
2508,21,NDRE,0.1995427252,0.0551583117,0.2137592799,0.039649265
2508,21,NDVI,0.1204488333,0.2501235803,0.3354061746,0.001014253
2508,21,PlantCount,-0.093260998,0.3739210697,-0.400333872,0.0000700578
2508,21,Thresh,0.1002748091,0.3388955383,0.5260097573,6.1394924E-8
2508,25,ExG,0.1443660164,0.1673926391,0.5007812717,3.1860923E-7
2508,25,ExR,-0.08650594,0.4096569642,-0.34635644,0.0006717058
2508,25,GNDVI,0.2526384813,0.0145585292,0.5069920929,2.1504326E-7
2508,25,HA,-0.249187735,0.0160092053,-0.277641091,0.0070504194
2508,25,NDRE,0.1662030239,0.1113348439,0.3460341375,0.000680048
2508,25,NDVI,0.2596822898,0.0119472841,0.585444707,7.113348E-10
2508,25,PlantCount,-0.157859324,0.1307263807,-0.046948762,0.654961266
