Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
25110,37,GNDRE,-0.183615079,0.2272921014,0.161292283,0.2898347779
25110,37,GNDVI,-0.26280753,0.081130954,0.6353033098,2.7562044E-6
25110,37,HA,-0.097197227,0.5253125958,-0.247534982,0.1011271076
25110,37,NDVI,-0.156638421,0.3041596969,0.7808902077,2.494816E-10
25110,37,PlantCount,-0.218977304,0.1483975766,-0.239362921,0.1132781886
25110,37,Thresh,0.0818351339,0.5930533974,0.9198604514,4.367438E-19
25110,42,ExG,0.3453590326,0.0201499033,0.918501386,6.183653E-19
25110,42,ExR,-0.203569162,0.1798395379,-0.966460015,5.136295E-27
25110,42,GNDRE,-0.203569162,0.1798395379,-0.966460015,5.136295E-27
25110,42,GNDVI,-0.341605719,0.0216389928,0.5723546141,0.0000399155
25110,42,HA,-0.082159735,0.5915829931,-0.112923363,0.4601720022
25110,42,NDVI,-0.129106875,0.3979715767,0.8162077179,8.34183E-12
25110,42,PlantCount,-0.215202646,0.1556962763,-0.223601825,0.1398030243
25110,42,Thresh,0.1757727946,0.2481074816,0.9856122083,7.767764E-35
25111,10,ExG,-0.157725518,0.3184770672,0.3539999514,0.0214491286
25111,10,ExR,-0.157725518,0.3184770672,0.3539999514,0.0214491286
25111,10,GNDRE,-0.069238822,0.6630538999,0.5667627675,0.0000911324
25111,10,GNDVI,0.0316862764,0.8421037537,0.6516392582,2.9512463E-6
25111,10,HA,0.0500265738,0.7530485684,0.3819462843,0.0125591493
25111,10,NDVI,-0.004482498,0.9775239049,0.6663443137,1.4575529E-6
25111,10,PlantCount,0.1843564527,0.2424999812,0.0212470054,0.8937538279
25111,10,Thresh,-0.043325964,0.7852848306,0.6023060463,0.0000244136
25111,16,ExG,-0.088852222,0.5757801438,0.6250339526,9.6488507E-6
25111,16,ExR,0.0523169553,0.7421209633,-0.607791003,0.0000196418
25111,16,GNDRE,-0.025908342,0.8706244806,0.6854831988,5.4772595E-7
25111,16,GNDVI,-0.01393996,0.93017945,0.7018756787,2.2302281E-7
25111,16,HA,0.0083395892,0.9581968132,-0.272889509,0.0803754692
25111,16,NDVI,-0.016357587,0.9181083298,0.711800918,1.2565727E-7
25111,16,PlantCount,0.0863879004,0.5864548558,-0.233058484,0.1374510051
25111,16,Thresh,-0.025997369,0.8701837026,0.648682396,3.3856071E-6
25111,23,ExG,0.0148795699,0.9254860295,0.6696062475,1.2398112E-6
25111,23,ExR,-0.041415586,0.794543436,-0.673984206,9.9465325E-7
25111,23,GNDRE,-0.040147204,0.8007061251,0.2086357525,0.1848544128
25111,23,GNDVI,0.0381555224,0.8104071001,0.6118028913,0.00001671
25111,23,HA,-0.166449693,0.2920960828,0.0905184001,0.5686131615
