Site,Trial,Block,Entry,Yield,HA_Mean,sum_distances_div2,variance_distance
SVREC_2025,2503,1,4,1429.586998,0.982557186,4.3321798575,0.0011917917631786104
SVREC_2025,2503,1,8,2520.403543,0.959792217,4.1638027535,0.0018002906614826952
SVREC_2025,2503,1,2,2578.283441,0.961430498,3.945623326,0.002870408127725227
SVREC_2025,2503,1,19,2978.95506,0.960265383,4.256747757,0.0015073208955721136
SVREC_2025,2503,1,23,2152.272662,0.98272028,4.183064721,0.002364614757052793
SVREC_2025,2503,1,10,2179.634242,0.963309274,3.814472612,0.0011164309133319275
SVREC_2025,2503,1,15,3100.046812,0.959934378,4.0842238995,0.0014448888346872241
SVREC_2025,2503,1,9,2871.260995,0.978602803,4.1065292,0.0015480625689954332
SVREC_2025,2503,1,11,2340.840695,0.956746806,3.9025551835,0.00152646398098518
SVREC_2025,2503,1,36,2215.326051,0.976743762,4.312364732,0.002391855910540593
SVREC_2025,2503,1,40,2443.410841,0.964857278,4.8113352655,0.0030227802231093037
SVREC_2025,2503,1,14,3426.900615,0.950243316,3.95773861,0.0016517521745100594
SVREC_2025,2503,1,22,3418.603034,0.982537686,4.438077757,0.0013403668281472994
SVREC_2025,2503,1,35,2421.344776,0.950644285,3.9538614265,0.0024846476753320646
SVREC_2025,2503,1,20,2918.691425,0.975996063,4.309983834,0.0015168029580695118
SVREC_2025,2503,1,13,3513.022206,0.918832708,3.463150131,0.006421786830357011
SVREC_2025,2503,1,12,2962.759843,0.964620965,3.994817234,0.002870026163790024
SVREC_2025,2503,1,33,2806.415882,0.970800525,4.0603759315,0.00250246122091151
SVREC_2025,2503,1,3,2142.008114,0.966735929,3.890065011,0.001294790917170332
SVREC_2025,2503,1,38,2308.167275,0.964367083,3.878382595,0.0020316223009310165
SVREC_2025,2503,1,18,2743.31304,0.958754807,3.4824156175,0.0016095671899155368
SVREC_2025,2503,1,5,1879.913338,0.946341997,4.2065001815,0.0019195432292459164
SVREC_2025,2503,1,32,2989.774942,0.872616921,4.146752648,0.01094212643229542
SVREC_2025,2503,1,16,2478.087862,0.864524478,3.381190252,0.0066434643484638645
SVREC_2025,2503,1,28,2530.647206,0.98457949,4.5341016365,0.0016355433587409095
SVREC_2025,2503,1,29,2925.105051,0.964677578,4.0917982644999995,0.0037752115046048368
SVREC_2025,2503,1,25,2915.769085,0.951882769,3.965709177,0.001223139387389347
SVREC_2025,2503,1,27,2788.666507,0.954102186,3.791728945,0.0020104665501794947
SVREC_2025,2503,1,26,2404.685039,0.93806842,3.828566326,0.002376317615353306
SVREC_2025,2503,1,24,2745.255377,0.956311741,3.728774081,0.003094968002771775
SVREC_2025,2503,2,5,2201.932303,0.977964495,4.2647539525,0.0015015931067602609
SVREC_2025,2503,2,19,3015.055646,0.935824296,3.896679441,0.0018370797519820293
SVREC_2025,2503,2,38,2185.659929,0.962854956,4.034824326,0.0016952880001736552
SVREC_2025,2503,2,29,2563.698819,0.922755855,3.9532931495,0.001837544566007999
SVREC_2025,2503,2,37,1689.182351,0.955272847,4.181885468,0.001713013249596928
SVREC_2025,2503,2,4,2354.093864,0.987460129,4.4457324315,0.0012396316968398254
SVREC_2025,2503,2,40,2940.770573,0.958842186,4.485655089,0.0018309905892932767
SVREC_2025,2503,2,24,2753.53104,0.962796209,3.9497059505,0.0018862551253477449
SVREC_2025,2503,2,3,2536.193754,0.947490249,4.0359585645,0.0014585535729303236
SVREC_2025,2503,2,10,2639.97465,0.973845369,3.661979163,0.002017847885890662
SVREC_2025,2503,2,35,2480.200787,0.986056939,4.2462905115,0.00200916747228678
SVREC_2025,2503,2,27,2484.912618,0.934728323,3.880228398,0.0038907840059434345
SVREC_2025,2503,2,11,2290.812848,0.97772796,4.131621702,0.0012896236417355436
SVREC_2025,2503,2,1,2234.0773,0.930849707,3.455691605,0.001832202761443669
SVREC_2025,2503,2,8,2788.285385,0.958952299,3.6228641785,0.0007937218048652171
